Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
MY1,CO,25/03/1994 00:00,,mg m-3,R
MY1,CO,26/03/1994 00:00,,mg m-3,R
MY1,CO,27/03/1994 00:00,,mg m-3,R
MY1,CO,28/03/1994 00:00,,mg m-3,R
MY1,CO,29/03/1994 00:00,,mg m-3,R
MY1,CO,30/03/1994 00:00,,mg m-3,R
MY1,CO,31/03/1994 00:00,,mg m-3,R
MY1,CO,01/04/1994 00:00,,mg m-3,R
MY1,CO,02/04/1994 00:00,,mg m-3,R
MY1,CO,03/04/1994 00:00,,mg m-3,R
MY1,CO,04/04/1994 00:00,,mg m-3,R
MY1,CO,05/04/1994 00:00,,mg m-3,R
MY1,CO,06/04/1994 00:00,,mg m-3,R
MY1,CO,07/04/1994 00:00,,mg m-3,R
MY1,CO,08/04/1994 00:00,,mg m-3,R
MY1,CO,09/04/1994 00:00,,mg m-3,R
MY1,CO,10/04/1994 00:00,,mg m-3,R
MY1,CO,11/04/1994 00:00,,mg m-3,R
MY1,CO,12/04/1994 00:00,,mg m-3,R
MY1,CO,13/04/1994 00:00,,mg m-3,R
MY1,CO,14/04/1994 00:00,,mg m-3,R
MY1,CO,15/04/1994 00:00,,mg m-3,R
MY1,CO,16/04/1994 00:00,,mg m-3,R
MY1,CO,17/04/1994 00:00,,mg m-3,R
MY1,CO,18/04/1994 00:00,,mg m-3,R
MY1,CO,19/04/1994 00:00,,mg m-3,R
MY1,CO,20/04/1994 00:00,,mg m-3,R
MY1,CO,21/04/1994 00:00,,mg m-3,R
MY1,CO,22/04/1994 00:00,,mg m-3,R
MY1,CO,23/04/1994 00:00,,mg m-3,R
MY1,CO,24/04/1994 00:00,,mg m-3,R
MY1,CO,25/04/1994 00:00,,mg m-3,R
MY1,CO,26/04/1994 00:00,,mg m-3,R
MY1,CO,27/04/1994 00:00,,mg m-3,R
MY1,CO,28/04/1994 00:00,,mg m-3,R
MY1,CO,29/04/1994 00:00,,mg m-3,R
MY1,CO,30/04/1994 00:00,,mg m-3,R
MY1,CO,01/05/1994 00:00,,mg m-3,R
MY1,CO,02/05/1994 00:00,,mg m-3,R
MY1,CO,03/05/1994 00:00,,mg m-3,R
MY1,CO,04/05/1994 00:00,,mg m-3,R
MY1,CO,05/05/1994 00:00,,mg m-3,R
MY1,CO,06/05/1994 00:00,,mg m-3,R
MY1,CO,07/05/1994 00:00,,mg m-3,R
MY1,CO,08/05/1994 00:00,,mg m-3,R
MY1,CO,09/05/1994 00:00,,mg m-3,R
MY1,CO,10/05/1994 00:00,,mg m-3,R
MY1,CO,11/05/1994 00:00,,mg m-3,R
MY1,CO,12/05/1994 00:00,,mg m-3,R
MY1,CO,13/05/1994 00:00,,mg m-3,R
MY1,CO,14/05/1994 00:00,,mg m-3,R
MY1,CO,15/05/1994 00:00,,mg m-3,R
MY1,CO,16/05/1994 00:00,,mg m-3,R
MY1,CO,17/05/1994 00:00,,mg m-3,R
MY1,CO,18/05/1994 00:00,,mg m-3,R
MY1,CO,19/05/1994 00:00,,mg m-3,R
MY1,CO,20/05/1994 00:00,,mg m-3,R
MY1,CO,21/05/1994 00:00,,mg m-3,R
MY1,CO,22/05/1994 00:00,,mg m-3,R
MY1,CO,23/05/1994 00:00,,mg m-3,R
MY1,CO,24/05/1994 00:00,,mg m-3,R
MY1,CO,25/05/1994 00:00,,mg m-3,R
MY1,CO,26/05/1994 00:00,,mg m-3,R
MY1,CO,27/05/1994 00:00,,mg m-3,R
